A1:386 , A2:355 , A3:368 , A4:240 , A5:132 , height_photoresistor:7, ultrasonic:-2.67

A1:387 , A2:355 , A3:370 , A4:242 , A5:131 , height_photoresistor:7, ultrasonic:-3.64

A1:386 , A2:354 , A3:369 , A4:242 , A5:131 , height_photoresistor:7, ultrasonic:-3.23

A1:386 , A2:354 , A3:369 , A4:241 , A5:133 , height_photoresistor:7, ultrasonic:-3.08

A1:388 , A2:354 , A3:369 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.68

A1:387 , A2:354 , A3:370 , A4:242 , A5:133 , height_photoresistor:7, ultrasonic:-3.68

A1:386 , A2:355 , A3:369 , A4:241 , A5:132 , height_photoresistor:7, ultrasonic:-3.52

A1:387 , A2:355 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:386 , A2:355 , A3:370 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.23

A1:386 , A2:354 , A3:369 , A4:242 , A5:131 , height_photoresistor:7, ultrasonic:-3.68

A1:388 , A2:355 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.56

A1:386 , A2:354 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:386 , A2:354 , A3:369 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.25

A1:387 , A2:355 , A3:369 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.25

A1:387 , A2:355 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:386 , A2:353 , A3:369 , A4:242 , A5:131 , height_photoresistor:7, ultrasonic:-3.08

A1:387 , A2:355 , A3:369 , A4:241 , A5:132 , height_photoresistor:7, ultrasonic:-3.64

A1:386 , A2:354 , A3:371 , A4:243 , A5:131 , height_photoresistor:7, ultrasonic:-3.27

A1:386 , A2:354 , A3:368 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:387 , A2:355 , A3:369 , A4:241 , A5:132 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:355 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.27

A1:386 , A2:355 , A3:369 , A4:242 , A5:131 , height_photoresistor:7, ultrasonic:-3.27

A1:387 , A2:355 , A3:369 , A4:242 , A5:131 , height_photoresistor:7, ultrasonic:-3.51

A1:387 , A2:355 , A3:371 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:386 , A2:354 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.27

A1:387 , A2:355 , A3:369 , A4:241 , A5:132 , height_photoresistor:7, ultrasonic:-3.27

A1:387 , A2:355 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.54

A1:386 , A2:355 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:387 , A2:355 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.23

A1:386 , A2:356 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.23

A1:387 , A2:355 , A3:370 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.51

A1:387 , A2:355 , A3:370 , A4:242 , A5:131 , height_photoresistor:7, ultrasonic:-3.13

A1:389 , A2:355 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.68

A1:386 , A2:355 , A3:369 , A4:242 , A5:132 , height_photoresistor:7, ultrasonic:-3.68

A1:388 , A2:354 , A3:370 , A4:243 , A5:131 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:356 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

