GPRS disabled. running localy

A1:380 , A2:280 , A3:284 , A4:179 , A5:171 , height_photoresistor:11, ultrasonic:0.03

A1:380 , A2:279 , A3:285 , A4:178 , A5:170 , height_photoresistor:11, ultrasonic:0.35

A1:379 , A2:278 , A3:284 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.04

A1:381 , A2:280 , A3:284 , A4:179 , A5:171 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:278 , A3:286 , A4:180 , A5:170 , height_photoresistor:11, ultrasonic:-0.08

A1:379 , A2:279 , A3:283 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:0.09

A1:380 , A2:279 , A3:285 , A4:179 , A5:169 , height_photoresistor:11, ultrasonic:-0.03

A1:379 , A2:279 , A3:286 , A4:180 , A5:172 , height_photoresistor:11, ultrasonic:-0.06

A1:379 , A2:279 , A3:284 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.04

A1:381 , A2:279 , A3:285 , A4:179 , A5:172 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:280 , A3:286 , A4:180 , A5:172 , height_photoresistor:11, ultrasonic:0.08

A1:378 , A2:279 , A3:285 , A4:179 , A5:172 , height_photoresistor:11, ultrasonic:-0.03

A1:380 , A2:280 , A3:284 , A4:178 , A5:171 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:279 , A3:286 , A4:180 , A5:172 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:279 , A3:285 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.06

A1:381 , A2:279 , A3:285 , A4:179 , A5:171 , height_photoresistor:11, ultrasonic:0.08

A1:380 , A2:280 , A3:285 , A4:179 , A5:171 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:278 , A3:284 , A4:178 , A5:170 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:279 , A3:285 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:280 , A3:285 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:-0.06

A1:379 , A2:279 , A3:285 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.06

A1:379 , A2:280 , A3:284 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.08

A1:379 , A2:279 , A3:284 , A4:180 , A5:170 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:279 , A3:284 , A4:178 , A5:169 , height_photoresistor:11, ultrasonic:-0.08

A1:380 , A2:278 , A3:284 , A4:178 , A5:169 , height_photoresistor:11, ultrasonic:-0.08

A1:379 , A2:278 , A3:284 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.03

A1:379 , A2:277 , A3:283 , A4:179 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:278 , A3:283 , A4:177 , A5:168 , height_photoresistor:11, ultrasonic:0.09

A1:378 , A2:277 , A3:283 , A4:177 , A5:166 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:277 , A3:282 , A4:176 , A5:167 , height_photoresistor:11, ultrasonic:0.08

A1:380 , A2:277 , A3:284 , A4:178 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:277 , A3:282 , A4:178 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:282 , A4:176 , A5:167 , height_photoresistor:11, ultrasonic:0.06

A1:379 , A2:277 , A3:283 , A4:177 , A5:167 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:277 , A3:282 , A4:176 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:276 , A3:283 , A4:176 , A5:167 , height_photoresistor:11, ultrasonic:-0.03

A1:379 , A2:277 , A3:282 , A4:177 , A5:168 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:276 , A3:283 , A4:176 , A5:166 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:276 , A3:282 , A4:176 , A5:167 , height_photoresistor:11, ultrasonic:-0.03

A1:379 , A2:277 , A3:283 , A4:176 , A5:166 , height_photoresistor:11, ultrasonic:0.08

A1:377 , A2:276 , A3:282 , A4:178 , A5:167 , height_photoresistor:11, ultrasonic:-0.03

A1:379 , A2:276 , A3:281 , A4:176 , A5:165 , height_photoresistor:11, ultrasonic:0.08

A1:379 , A2:278 , A3:282 , A4:177 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:277 , A3:283 , A4:177 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:280 , A4:176 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:281 , A4:177 , A5:166 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:282 , A4:177 , A5:166 , height_photoresistor:11, ultrasonic:0.09

A1:379 , A2:276 , A3:282 , A4:177 , A5:165 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:278 , A3:283 , A4:177 , A5:166 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:277 , A3:282 , A4:177 , A5:167 , height_photoresistor:11, ultrasonic:-0.03

A1:379 , A2:278 , A3:280 , A4:177 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:276 , A3:282 , A4:177 , A5:165 , height_photoresistor:11, ultrasonic:0.06

A1:377 , A2:277 , A3:283 , A4:176 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:278 , A3:282 , A4:176 , A5:166 , height_photoresistor:11, ultrasonic:-0.08

A1:379 , A2:277 , A3:284 , A4:178 , A5:167 , height_photoresistor:11, ultrasonic:-0.04

A1:376 , A2:278 , A3:283 , A4:179 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:278 , A3:282 , A4:178 , A5:168 , height_photoresistor:11, ultrasonic:0.08

A1:380 , A2:277 , A3:284 , A4:178 , A5:169 , height_photoresistor:11, ultrasonic:-0.04

A1:378 , A2:277 , A3:282 , A4:179 , A5:169 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:276 , A3:280 , A4:178 , A5:169 , height_photoresistor:11, ultrasonic:0.06

