A1:257 , A2:222 , A3:259 , A4:189 , A5:196 , height_photoresistor:0, ultrasonic:0.73
A1:257 , A2:223 , A3:260 , A4:189 , A5:198 , height_photoresistor:0, ultrasonic:0.73
A1:257 , A2:223 , A3:258 , A4:189 , A5:196 , height_photoresistor:0, ultrasonic:0.73
A1:258 , A2:223 , A3:259 , A4:188 , A5:197 , height_photoresistor:0, ultrasonic:0.75
A1:258 , A2:223 , A3:260 , A4:190 , A5:197 , height_photoresistor:0, ultrasonic:0.83
A1:257 , A2:225 , A3:261 , A4:189 , A5:196 , height_photoresistor:0, ultrasonic:0.75
A1:258 , A2:224 , A3:259 , A4:189 , A5:198 , height_photoresistor:0, ultrasonic:0.73
A1:257 , A2:222 , A3:260 , A4:189 , A5:198 , height_photoresistor:0, ultrasonic:0.73
A1:258 , A2:223 , A3:259 , A4:190 , A5:196 , height_photoresistor:0, ultrasonic:0.71
A1:259 , A2:224 , A3:260 , A4:190 , A5:198 , height_photoresistor:0, ultrasonic:0.83
A1:257 , A2:224 , A3:260 , A4:190 , A5:198 , height_photoresistor:0, ultrasonic:0.75
A1:258 , A2:224 , A3:260 , A4:191 , A5:198 , height_photoresistor:0, ultrasonic:0.69
A1:258 , A2:225 , A3:261 , A4:192 , A5:199 , height_photoresistor:0, ultrasonic:0.75
A1:257 , A2:225 , A3:260 , A4:191 , A5:198 , height_photoresistor:0, ultrasonic:0.76
A1:259 , A2:225 , A3:261 , A4:190 , A5:199 , height_photoresistor:0, ultrasonic:0.73
A1:259 , A2:224 , A3:261 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.78
A1:258 , A2:224 , A3:260 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.85
A1:259 , A2:226 , A3:261 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.76
A1:260 , A2:226 , A3:262 , A4:192 , A5:200 , height_photoresistor:0, ultrasonic:0.73
A1:259 , A2:225 , A3:261 , A4:192 , A5:199 , height_photoresistor:0, ultrasonic:0.73
A1:259 , A2:226 , A3:261 , A4:192 , A5:199 , height_photoresistor:0, ultrasonic:0.75
A1:260 , A2:227 , A3:262 , A4:192 , A5:200 , height_photoresistor:0, ultrasonic:0.73
A1:260 , A2:226 , A3:261 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.73
A1:260 , A2:226 , A3:262 , A4:192 , A5:200 , height_photoresistor:0, ultrasonic:0.85
A1:260 , A2:226 , A3:261 , A4:192 , A5:200 , height_photoresistor:0, ultrasonic:0.75
A1:260 , A2:226 , A3:261 , A4:192 , A5:200 , height_photoresistor:0, ultrasonic:0.75
A1:260 , A2:226 , A3:262 , A4:192 , A5:201 , height_photoresistor:0, ultrasonic:0.75
A1:261 , A2:226 , A3:261 , A4:192 , A5:202 , height_photoresistor:0, ultrasonic:0.75
A1:260 , A2:226 , A3:261 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.85
A1:260 , A2:226 , A3:262 , A4:192 , A5:199 , height_photoresistor:0, ultrasonic:0.75
A1:259 , A2:225 , A3:261 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.73
A1:260 , A2:225 , A3:260 , A4:190 , A5:198 , height_photoresistor:0, ultrasonic:0.75
A1:259 , A2:225 , A3:262 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.73
A1:259 , A2:224 , A3:261 , A4:191 , A5:199 , height_photoresistor:0, ultrasonic:0.83
A1:259 , A2:225 , A3:260 , A4:191 , A5:198 , height_photoresistor:0, ultrasonic:0.71
A1:258 , A2:223 , A3:260 , A4:191 , A5:198 , height_photoresistor:0, ultrasonic:0.83
A1:256 , A2:222 , A3:258 , A4:188 , A5:197 , height_photoresistor:0, ultrasonic:0.73
A1:256 , A2:220 , A3:257 , A4:187 , A5:195 , height_photoresistor:0, ultrasonic:0.75
A1:255 , A2:219 , A3:256 , A4:186 , A5:195 , height_photoresistor:0, ultrasonic:0.73
A1:255 , A2:218 , A3:255 , A4:186 , A5:193 , height_photoresistor:0, ultrasonic:0.73
A1:254 , A2:219 , A3:256 , A4:187 , A5:194 , height_photoresistor:0, ultrasonic:0.88
A1:254 , A2:219 , A3:256 , A4:186 , A5:195 , height_photoresistor:0, ultrasonic:0.75
A1:255 , A2:218 , A3:256 , A4:186 , A5:195 , height_photoresistor:0, ultrasonic:0.76
A1:253 , A2:219 , A3:256 , A4:185 , A5:195 , height_photoresistor:0, ultrasonic:0.73
A1:253 , A2:217 , A3:254 , A4:185 , A5:194 , height_photoresistor:0, ultrasonic:0.78
A1:253 , A2:216 , A3:254 , A4:185 , A5:192 , height_photoresistor:0, ultrasonic:0.73
A1:250 , A2:214 , A3:253 , A4:183 , A5:193 , height_photoresistor:0, ultrasonic:0.76
A1:248 , A2:210 , A3:249 , A4:181 , A5:191 , height_photoresistor:0, ultrasonic:0.85
A1:246 , A2:207 , A3:246 , A4:179 , A5:190 , height_photoresistor:0, ultrasonic:0.73
A1:245 , A2:205 , A3:244 , A4:179 , A5:190 , height_photoresistor:0, ultrasonic:0.83
A1:246 , A2:205 , A3:244 , A4:178 , A5:190 , height_photoresistor:0, ultrasonic:0.73
A1:242 , A2:204 , A3:244 , A4:178 , A5:190 , height_photoresistor:0, ultrasonic:0.73
A1:237 , A2:199 , A3:238 , A4:177 , A5:189 , height_photoresistor:0, ultrasonic:0.71
A1:235 , A2:192 , A3:230 , A4:168 , A5:185 , height_photoresistor:0, ultrasonic:1.19
A1:231 , A2:183 , A3:219 , A4:162 , A5:177 , height_photoresistor:0, ultrasonic:9.51
A1:235 , A2:185 , A3:223 , A4:164 , A5:161 , height_photoresistor:0, ultrasonic:1.12
A1:237 , A2:192 , A3:228 , A4:159 , A5:155 , height_photoresistor:0, ultrasonic:0.57
A1:236 , A2:190 , A3:219 , A4:161 , A5:137 , height_photoresistor:0, ultrasonic:-4.06
A1:236 , A2:187 , A3:226 , A4:159 , A5:144 , height_photoresistor:0, ultrasonic:1.07
A1:234 , A2:187 , A3:221 , A4:160 , A5:146 , height_photoresistor:0, ultrasonic:1.14
A1:233 , A2:186 , A3:225 , A4:158 , A5:148 , height_photoresistor:0, ultrasonic:0.32
A1:229 , A2:185 , A3:222 , A4:155 , A5:146 , height_photoresistor:0, ultrasonic:1.55
A1:227 , A2:181 , A3:221 , A4:157 , A5:142 , height_photoresistor:0, ultrasonic:10.16
A1:228 , A2:181 , A3:216 , A4:156 , A5:140 , height_photoresistor:0, ultrasonic:-8.88
A1:227 , A2:182 , A3:221 , A4:155 , A5:126 , height_photoresistor:1, ultrasonic:-0.45
A1:228 , A2:182 , A3:224 , A4:157 , A5:123 , height_photoresistor:1, ultrasonic:-12.17
A1:228 , A2:182 , A3:221 , A4:157 , A5:122 , height_photoresistor:1, ultrasonic:3.66
A1:228 , A2:181 , A3:220 , A4:155 , A5:123 , height_photoresistor:1, ultrasonic:0.33
A1:230 , A2:182 , A3:223 , A4:156 , A5:123 , height_photoresistor:1, ultrasonic:2.48
A1:231 , A2:185 , A3:223 , A4:156 , A5:123 , height_photoresistor:1, ultrasonic:3.61
A1:234 , A2:187 , A3:226 , A4:157 , A5:119 , height_photoresistor:1, ultrasonic:7.07
A1:235 , A2:191 , A3:232 , A4:161 , A5:122 , height_photoresistor:1, ultrasonic:3.35
A1:236 , A2:196 , A3:234 , A4:164 , A5:118 , height_photoresistor:1, ultrasonic:-0.69
A1:241 , A2:197 , A3:234 , A4:166 , A5:118 , height_photoresistor:1, ultrasonic:0.25
A1:254 , A2:203 , A3:237 , A4:168 , A5:114 , height_photoresistor:1, ultrasonic:-1.11
A1:284 , A2:236 , A3:246 , A4:172 , A5:112 , height_photoresistor:7, ultrasonic:-1.00
A1:304 , A2:262 , A3:278 , A4:185 , A5:110 , height_photoresistor:7, ultrasonic:-0.66
A1:316 , A2:281 , A3:293 , A4:197 , A5:110 , height_photoresistor:7, ultrasonic:-1.42
A1:322 , A2:289 , A3:297 , A4:199 , A5:108 , height_photoresistor:7, ultrasonic:-0.61
A1:325 , A2:293 , A3:301 , A4:202 , A5:109 , height_photoresistor:7, ultrasonic:-0.54
A1:325 , A2:291 , A3:301 , A4:204 , A5:111 , height_photoresistor:7, ultrasonic:-1.09
A1:325 , A2:293 , A3:300 , A4:201 , A5:109 , height_photoresistor:7, ultrasonic:-0.54
A1:325 , A2:292 , A3:301 , A4:202 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:324 , A2:293 , A3:302 , A4:203 , A5:110 , height_photoresistor:7, ultrasonic:-0.49
A1:325 , A2:293 , A3:301 , A4:202 , A5:109 , height_photoresistor:7, ultrasonic:-0.63
A1:325 , A2:294 , A3:303 , A4:204 , A5:109 , height_photoresistor:7, ultrasonic:-0.54
A1:325 , A2:294 , A3:303 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:327 , A2:294 , A3:303 , A4:202 , A5:109 , height_photoresistor:7, ultrasonic:-0.54
A1:327 , A2:296 , A3:303 , A4:203 , A5:110 , height_photoresistor:7, ultrasonic:-0.63
A1:327 , A2:295 , A3:303 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.52
A1:328 , A2:295 , A3:302 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.66
A1:328 , A2:295 , A3:305 , A4:203 , A5:110 , height_photoresistor:7, ultrasonic:-0.61
A1:327 , A2:295 , A3:301 , A4:204 , A5:109 , height_photoresistor:7, ultrasonic:-0.66
A1:328 , A2:296 , A3:303 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:328 , A2:296 , A3:304 , A4:204 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:328 , A2:294 , A3:302 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-1.09
A1:329 , A2:296 , A3:303 , A4:203 , A5:110 , height_photoresistor:7, ultrasonic:-0.61
A1:330 , A2:296 , A3:304 , A4:204 , A5:109 , height_photoresistor:7, ultrasonic:-0.66
A1:330 , A2:296 , A3:302 , A4:203 , A5:110 , height_photoresistor:7, ultrasonic:-0.64
A1:330 , A2:297 , A3:305 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.63
A1:328 , A2:295 , A3:304 , A4:204 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
